step,time
11.0,5.413
21.0,2.725
31.0,2.655
41.0,2.779
51.0,2.812
61.0,2.79
71.0,2.764
81.0,2.863
91.0,2.848
101.0,2.885
111.0,2.723
121.0,2.699
131.0,2.866
141.0,2.709
151.0,2.819
161.0,2.659
171.0,2.871
181.0,2.783
191.0,2.706
201.0,2.683
211.0,2.799
221.0,2.847
231.0,2.89
241.0,2.826
251.0,2.778
261.0,2.818
271.0,2.724
281.0,2.811
291.0,2.839
301.0,2.799
311.0,2.886
321.0,2.709
331.0,2.78
341.0,2.976
351.0,2.742
361.0,2.673
371.0,2.857
381.0,2.731
391.0,2.711
401.0,2.848
411.0,2.835
421.0,2.682
431.0,2.736
441.0,2.692
451.0,2.976
461.0,2.911
471.0,2.816
481.0,2.697
491.0,5.249
501.0,10.551
511.0,2.812
521.0,2.866
531.0,2.672
541.0,2.953
551.0,2.85
561.0,2.673
571.0,2.742
581.0,2.848
591.0,2.687
601.0,2.625
611.0,2.83
621.0,2.698
631.0,2.822
641.0,2.861
651.0,2.81
661.0,2.766
671.0,2.778
681.0,2.736
691.0,2.739
701.0,2.703
711.0,2.859
721.0,2.703
731.0,2.892
741.0,2.872
751.0,2.736
761.0,2.844
771.0,2.832
781.0,2.782
791.0,2.772
801.0,2.781
811.0,2.767
821.0,2.776
831.0,2.722
841.0,2.867
851.0,2.75
861.0,2.837
871.0,2.874
881.0,2.927
891.0,2.769
901.0,2.726
911.0,2.714
921.0,2.978
931.0,2.708
941.0,2.943
951.0,2.932
961.0,2.79
971.0,2.696
981.0,2.962
991.0,2.784
1001.0,2.632
1011.0,2.742
1021.0,2.875
1031.0,2.689
1041.0,2.72
1051.0,2.864
1061.0,2.992
1071.0,2.627
1081.0,2.84
1091.0,3.034
1101.0,2.614
1111.0,2.838
1121.0,2.749
1131.0,11.75
1141.0,2.762
1151.0,2.672
1161.0,2.797
1171.0,2.757
1181.0,2.645
1191.0,2.753
1201.0,2.752
1211.0,2.847
1221.0,2.749
1231.0,2.908
1241.0,2.76
1251.0,2.706
1261.0,2.751
1271.0,2.833
1281.0,2.762
1291.0,2.775
1301.0,2.833
1311.0,2.935
1321.0,2.821
1331.0,2.84
1341.0,2.735
1351.0,2.76
1361.0,2.836
1371.0,2.753
1381.0,2.797
1391.0,2.639
1401.0,2.714
1411.0,2.746
1421.0,2.922
1431.0,2.758
1441.0,2.799
1451.0,2.763
1461.0,2.742
1471.0,2.834
1481.0,2.905
1491.0,2.874
1501.0,2.883
1511.0,2.814
1521.0,2.869
1531.0,2.888
1541.0,2.896
1551.0,2.818
1561.0,2.919
1571.0,2.906
1581.0,2.731
1591.0,2.992
1601.0,2.852
1611.0,2.807
1621.0,2.874
1631.0,2.692
1641.0,2.804
1651.0,2.987
1661.0,2.728
1671.0,2.747
1681.0,2.798
1691.0,9.839
1701.0,4.268
1711.0,2.819
1721.0,2.823
1731.0,2.879
1741.0,2.976
1751.0,2.997
1761.0,2.795
1771.0,2.836
1781.0,2.707
1791.0,2.725
1801.0,2.842
1811.0,2.647
1821.0,2.726
1831.0,2.863
1841.0,2.849
1851.0,2.854
1861.0,2.896
1871.0,2.88
1881.0,3.003
1891.0,2.703
1901.0,2.84
1911.0,2.717
1921.0,2.902
1931.0,2.666
